French,English
chercher,search
seulement,only
pensais,thought
demande,request
mois,month
frère,brother
car,because
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
pendant,while
revoir,meet again
aucune,any
place,square
savais,knew
étaient,were
voici,here is
pourrais,could
train,train
corps,body
endroit,place
yeux,eyes
trouve,find
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tellement,so much
point,point
minutes,minutes
belle,beautiful
aimerais,would like to
mari,husband
enfin,finally
espère,hope
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
